date,AAPL,AMT,BA,BAC,CAT,CSCO,CVX,DIS,DUK,GE,GOOGL,GS,HD,INTC,JNJ,JPM,KO,MCD,MMM,MSFT,NEE,NKE,PFE,PG,T,UNH,VZ,WFC,WMT,XOM
2013-02-08,67.8542,77.06,76.56,11.76,96.85,21.16,115.64,54.66,69.0,22.5,393.0777,151.6,67.01,21.0,75.48,48.63,38.77,94.87,102.66,27.55,72.1,27.295,26.88,75.75,35.27,57.74,44.35,34.88,71.48,88.61
2013-02-11,68.5614,76.38,75.87,11.86,96.6,21.27,115.64,54.75,69.14,22.45,391.6012,152.24,66.38,21.03,75.41,48.66,38.61,95.17,102.62,27.86,72.18,27.61,27.14,75.81,35.23,57.12,44.32,35.26,71.4,88.28
2013-02-12,66.8428,75.59,75.99,12.245,97.22,20.97,116.5,54.95,69.5,22.58,390.7403,154.11,67.32,21.19,75.8,49.14,37.56,95.1,103.46,27.88,72.49,27.545,26.99,75.98,35.6,57.01,44.44,35.51,71.4,88.46
2013-02-13,66.7156,74.0,74.78,12.17,96.38,21.14,115.53,54.96,68.82,23.39,391.8214,154.52,67.45,21.25,75.66,48.68,37.21,94.0,102.86,28.03,72.55,27.28,27.0,76.56,35.42,57.23,44.52,35.13,71.39,88.67
2013-02-14,66.6556,73.48,74.93,12.13,96.07,20.99,115.71,54.88,68.0,23.41,394.3039,155.93,67.34,21.23,75.81,49.22,36.84,93.56,102.78,28.04,72.2,27.31,27.06,76.78,35.29,57.05,44.33,35.21,70.82,88.52
2013-02-15,65.7371,75.18,75.03,12.03,95.61,20.99,114.96,55.61,68.06,23.29,396.8414,154.99,67.52,21.115,76.16,48.88,37.42,93.9,103.23,28.01,72.5,27.475,27.29,76.54,35.36,57.32,44.4,35.16,69.3,88.36
2013-02-19,65.7128,74.62,74.65,12.19,95.6,21.46,115.92,55.73,68.96,23.75,403.8284,158.65,67.55,21.085,76.96,49.45,37.67,93.85,104.18,28.045,72.9,27.235,27.71,77.38,35.67,56.66,44.5,35.14,68.76,89.32
2013-02-20,64.1214,73.95,74.78,11.8,93.22,21.105,114.99,54.6,68.85,23.41,396.6262,155.18,66.44,20.73,76.65,48.61,37.73,93.91,103.15,27.87,72.94,27.01,27.57,77.08,35.47,55.21,44.92,35.1,69.21,88.97
2013-02-21,63.7228,73.78,76.01,11.42,91.53,20.76,114.99,54.17,68.83,23.26,398.1628,150.88,64.38,20.25,76.87,48.25,37.71,94.14,102.72,27.49,72.53,27.27,27.41,77.04,35.43,55.24,45.12,35.46,70.26,88.59
2013-02-22,64.4014,74.52,76.66,11.44,91.54,20.9,115.96,54.25,69.46,23.39,400.2549,154.09,65.58,20.42,76.25,48.91,38.52,95.25,103.54,27.76,72.75,27.235,27.38,76.99,35.68,54.47,45.4,35.82,70.4,89.2
2013-02-25,63.2571,73.66,75.03,11.03,89.16,20.66,113.54,53.59,69.11,22.81,395.7804,147.65,63.92,20.23,75.57,47.7,37.72,96.14,101.75,27.37,72.19,27.02,26.84,75.92,35.19,53.3,45.72,34.79,70.44,87.7
2013-02-26,64.1385,75.51,75.65,11.13,89.95,20.608,114.96,53.9,69.59,23.05,395.4601,148.0,67.56,20.58,75.75,47.6,38.11,96.22,102.31,27.37,72.27,27.135,27.03,76.08,35.49,53.05,46.12,34.75,71.11,88.51
2013-02-27,63.5099,77.4,77.36,11.3,92.25,20.89,116.65,54.48,70.13,23.37,400.2899,151.65,68.06,20.93,76.32,49.28,38.45,95.73,103.57,27.81,71.94,27.17,27.41,76.75,35.85,53.87,46.35,35.13,71.66,89.53
2013-02-28,63.0571,77.6,76.9,11.23,92.37,20.855,117.15,54.59,69.25,23.22,401.0006,149.76,68.5,20.88,76.11,48.92,38.72,95.9,104.0,27.8,71.87,27.23,27.37,76.18,35.91,53.45,46.53,35.08,70.78,89.55
2013-03-01,61.4957,78.13,77.28,11.34,91.36,20.83,116.9,55.33,69.25,23.19,403.4981,150.53,69.03,21.03,76.7,48.91,38.7,95.68,103.77,27.95,72.36,27.41,27.39,76.49,36.01,53.52,46.72,35.39,71.74,89.43
2013-03-04,60.0071,78.86,77.09,11.41,89.75,20.74,117.49,55.8,69.71,23.27,411.1628,152.18,70.29,21.27,77.2,49.1,38.82,95.07,103.28,28.15,73.59,27.365,27.69,76.68,36.23,53.32,47.11,35.85,73.26,88.95
2013-03-05,61.5919,78.65,78.66,11.55,90.21,21.218,117.93,56.48,70.16,23.59,419.7213,152.96,70.47,21.51,77.66,49.49,38.68,95.81,104.45,28.35,73.88,27.45,28.07,77.05,36.6,53.5,47.69,35.88,73.72,89.61
2013-03-06,60.8088,77.5,79.08,11.92,89.64,21.715,118.47,56.36,69.88,23.67,416.1057,154.13,70.48,21.75,77.39,50.03,39.02,96.81,104.66,28.09,74.17,27.65,28.12,77.2,36.29,53.61,47.28,36.05,73.38,89.56
2013-03-07,61.5117,77.56,81.05,12.26,89.65,21.802,118.56,56.32,69.55,23.68,416.7143,156.62,70.25,21.89,77.75,50.63,39.12,97.09,104.54,28.14,73.94,27.61,28.27,76.9,36.39,53.8,47.48,36.42,73.32,88.71
2013-03-08,61.6742,77.14,81.23,12.07,90.51,21.83,118.57,57.39,69.64,23.77,416.1758,152.98,71.37,21.58,78.19,50.2,39.22,98.71,105.71,28.0,74.16,27.345,28.19,77.18,36.68,53.81,47.96,36.5,73.03,88.97
2013-03-11,62.5528,76.9,82.94,12.15,91.18,21.88,118.73,57.66,69.79,23.62,417.8274,153.3,71.32,21.69,78.44,50.48,39.31,98.89,105.81,27.87,74.18,27.265,28.25,77.35,36.6,54.21,47.81,37.13,72.98,89.16
2013-03-12,61.2042,76.03,84.16,12.01,89.74,21.7,118.25,57.11,69.54,23.41,414.2188,151.85,70.75,21.64,78.56,50.28,38.96,98.76,105.13,27.91,73.1,26.745,27.94,77.17,36.72,54.83,48.36,36.66,73.6,89.16
2013-03-13,61.1928,76.12,84.75,12.06,89.28,21.575,118.36,57.34,69.91,23.49,413.0677,151.91,70.76,21.655,78.55,50.16,38.59,99.38,105.09,27.915,73.75,27.425,28.02,76.8,36.6,54.48,47.94,36.77,73.65,89.26
2013-03-14,61.7857,76.41,84.62,12.11,88.7,21.59,120.0,57.75,69.93,23.69,411.1808,154.02,70.24,21.65,79.1,51.0,39.02,99.31,106.02,28.135,74.01,27.345,28.11,77.39,36.86,54.73,48.48,36.97,73.22,89.83
2013-03-15,63.3799,75.56,86.43,12.57,88.83,21.925,119.68,57.58,69.95,23.44,407.5582,154.84,69.05,21.375,79.19,50.02,38.83,99.67,106.4,28.035,74.47,27.39,28.02,76.34,36.43,54.73,48.02,38.2,72.5,89.37
2013-03-18,65.1028,75.05,85.18,12.56,89.36,21.67,119.13,56.83,69.62,23.25,404.2989,151.95,69.35,21.26,78.81,49.51,38.76,98.57,105.41,28.1,74.12,27.08,28.04,76.16,36.15,55.0,48.75,37.76,72.25,88.77
2013-03-19,64.9271,74.53,85.51,12.71,88.27,21.52,119.46,56.31,69.91,23.32,406.0657,148.84,68.79,21.14,78.86,49.2,39.33,98.4,105.18,28.18,75.12,26.915,27.99,77.11,36.14,55.17,48.95,37.49,72.45,88.58
2013-03-20,64.5828,75.32,85.37,12.78,86.94,21.67,120.35,56.94,70.4,23.46,407.7614,150.13,68.88,21.18,79.45,49.12,39.87,98.77,105.66,28.315,75.7,27.415,28.29,77.58,36.19,54.88,48.6,37.44,72.99,88.63
2013-03-21,64.6756,76.29,84.33,12.57,86.83,20.84,120.34,56.31,70.26,23.29,406.0356,145.38,68.95,21.04,79.01,48.35,40.07,98.53,104.94,28.11,75.59,26.8,28.11,77.21,36.15,55.06,48.8,37.14,73.13,88.17
2013-03-22,65.9871,76.73,84.82,12.56,87.48,20.75,121.18,56.78,70.61,23.37,405.5602,146.6,69.56,21.33,79.74,48.78,40.04,99.27,106.42,28.25,76.17,29.765,28.38,77.27,36.43,54.46,49.02,37.2,74.28,89.29
2013-03-25,66.2256,76.26,84.85,12.4,86.64,20.85,120.18,56.21,70.28,23.24,405.2248,146.11,69.47,21.15,79.68,48.52,40.12,98.24,105.17,28.16,76.18,29.78,28.16,76.68,36.39,54.86,49.16,37.21,74.85,89.02
2013-03-26,65.8765,75.89,86.62,12.28,87.0,20.845,120.98,56.63,70.95,23.12,406.6162,146.54,70.05,21.765,80.85,48.64,40.69,98.5,106.07,28.155,77.17,29.735,28.6,77.4,36.74,55.65,49.48,37.3,74.77,90.13
2013-03-27,64.5828,76.86,86.2,12.23,86.9,20.83,120.19,56.47,71.72,23.1,401.7313,147.84,69.65,21.83,81.27,47.77,40.22,98.9,105.29,28.37,76.88,29.225,28.64,77.06,36.62,56.62,48.94,36.98,74.78,90.58
2013-03-28,63.2371,76.92,85.85,12.18,86.97,20.895,118.82,56.8,72.59,23.12,397.4911,147.15,69.78,21.835,81.53,47.46,40.44,99.69,106.31,28.605,77.68,29.505,28.86,77.06,36.69,57.21,49.15,36.99,74.83,90.11
2013-04-01,61.2728,77.75,85.25,12.15,85.64,20.83,119.61,56.69,72.32,23.08,400.9956,146.04,69.67,21.43,81.93,47.83,40.45,99.05,105.65,28.61,77.48,29.13,28.84,77.7,37.25,58.97,49.22,36.93,75.43,90.77
2013-04-02,61.3988,78.73,84.09,12.15,84.88,21.22,119.0,57.46,72.62,23.34,406.9265,146.68,71.02,21.455,82.69,48.28,40.72,100.26,106.52,28.8,78.16,29.45,29.23,78.96,37.57,61.74,49.5,36.88,76.02,90.58
2013-04-03,61.7128,78.02,84.36,11.81,84.12,21.197,117.78,57.25,71.71,23.0,403.5041,143.41,70.36,21.05,82.07,46.85,40.17,99.25,105.68,28.56,78.32,29.455,29.03,78.12,37.28,61.67,48.99,36.67,76.0,89.93
2013-04-04,61.1028,78.58,84.95,11.94,84.63,21.04,118.07,57.59,71.79,23.08,397.9325,142.99,70.69,21.135,82.41,47.49,40.54,100.63,105.82,28.595,79.23,29.67,29.16,78.54,37.91,62.03,49.3,37.42,76.2,89.77
2013-04-05,60.4571,77.82,86.17,11.97,84.6,20.61,117.52,57.7,72.05,22.93,391.9165,143.69,70.06,20.94,82.04,47.91,40.08,101.42,105.78,28.7,79.54,29.485,29.1,78.23,38.02,62.1,49.56,37.15,76.39,89.01
2013-04-08,60.8871,79.0,86.75,12.21,84.19,20.57,117.81,58.82,73.01,23.12,387.8124,143.82,71.22,21.09,81.11,48.58,40.86,101.5,105.75,28.59,79.94,29.975,29.16,78.79,37.62,61.89,49.43,37.02,77.29,88.6
2013-04-09,60.9971,79.29,87.21,12.25,85.9,20.97,118.64,59.14,72.62,23.06,389.2138,146.52,71.2,21.75,81.52,48.68,40.71,101.06,105.95,29.61,79.19,29.945,29.11,78.26,37.76,62.18,49.36,37.45,78.12,88.77
2013-04-10,62.2414,79.87,87.82,12.32,86.57,21.47,119.64,60.11,72.79,23.58,395.4851,149.46,71.69,22.26,82.02,49.25,41.07,101.49,107.69,30.28,79.86,30.145,29.92,79.24,38.18,62.41,49.86,37.57,77.37,88.68
2013-04-11,62.0471,80.32,88.53,12.27,85.7,21.685,120.95,60.55,73.17,23.59,395.5902,149.07,71.9,21.825,82.32,49.31,41.18,101.99,108.25,28.935,79.84,30.6,30.64,79.67,38.54,62.98,50.51,37.51,77.79,89.22
2013-04-12,61.3999,80.67,88.89,12.17,85.05,21.54,119.94,60.55,72.97,23.46,395.42,149.12,73.62,21.675,82.74,49.01,41.08,103.59,107.68,28.79,79.49,30.29,30.67,80.08,38.59,63.03,50.86,37.21,78.56,88.99
2013-04-15,59.9785,79.43,86.77,11.98,82.27,21.05,116.57,58.88,72.29,22.81,391.356,146.46,72.23,21.38,81.71,47.93,40.09,102.15,105.76,28.69,78.95,29.835,30.45,79.65,37.95,61.59,50.64,36.57,78.47,86.49
2013-04-16,60.8914,80.59,86.89,12.28,82.61,21.16,117.01,60.75,73.57,23.1,397.0817,144.1,72.46,21.915,83.44,48.49,42.37,103.04,106.15,28.97,79.71,30.25,30.94,80.1,37.94,62.81,50.46,37.06,78.68,86.61
2013-04-17,57.5428,79.78,86.69,11.7,81.47,20.63,114.81,60.68,73.15,22.76,391.6713,140.6,72.8,21.93,83.9,46.79,42.55,102.54,105.48,28.825,79.02,30.45,30.87,79.06,37.78,62.03,49.54,36.56,78.51,86.08
2013-04-18,56.0071,80.06,86.12,11.44,80.46,20.58,115.59,59.99,73.24,22.67,383.34,138.6,72.48,22.24,83.18,46.64,42.1,101.91,104.98,28.79,78.85,30.09,30.59,79.87,37.74,59.69,50.91,36.27,77.16,86.62
2013-04-19,55.7899,81.05,87.96,11.66,80.43,20.46,115.9,61.56,74.34,21.75,400.3349,138.72,74.0,22.44,84.49,47.23,42.66,99.92,105.71,29.765,80.08,30.46,31.06,81.43,38.28,60.04,52.25,36.69,78.29,87.45
2013-04-22,56.9528,81.02,86.94,11.72,82.71,20.59,116.57,62.01,74.28,21.35,400.4571,139.52,73.86,22.88,84.83,47.35,42.72,99.32,105.8,30.83,79.91,30.68,30.93,81.4,38.73,59.22,52.19,36.73,77.97,88.09
2013-04-23,58.0185,81.9,88.18,12.07,84.1,20.91,117.48,62.59,74.41,21.5,404.3539,142.94,73.38,23.375,85.45,48.17,42.7,99.76,107.39,30.6,80.11,30.84,31.08,82.54,39.0,58.54,52.32,37.13,79.09,89.3
2013-04-24,57.9231,81.0,90.83,12.31,83.78,20.39,118.28,61.94,74.72,21.96,407.1337,143.93,73.28,23.66,84.39,48.72,42.15,101.02,107.87,31.76,80.56,30.765,30.6,77.12,37.04,58.79,51.8,37.34,78.03,89.43
2013-04-25,58.3399,83.84,91.67,12.44,84.51,20.64,118.51,62.0,75.14,21.95,404.9545,144.76,73.37,23.38,85.22,49.0,42.35,100.94,104.88,31.94,80.44,31.035,30.26,76.58,37.28,59.34,53.22,37.64,78.65,88.07
2013-04-26,59.6007,82.97,92.85,12.42,84.68,20.67,120.04,61.87,74.86,22.21,401.1107,144.11,73.35,23.4,85.12,48.88,42.1,100.89,103.79,31.79,80.54,30.945,30.09,77.1,37.04,59.48,53.63,37.88,79.04,88.0
